username;hashtags;type;post_url;media_url;timestamp;date;comments;likes;caption;username_id;id;geotag_name;geotag_coordinates
itsdougthepug;;photo;https://www.instagram.com/p/BujboyOAZ5Q;https://scontent-amt2-1.cdninstagram.com/vp/12ed280bc7dc726ba4251d90bee2fabe/5D32CB27/t51.2885-15/e35/52580099_343733479821589_2647667987262797842_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1551632118;3-3-2019 17:55;770;117930;“‪I’m cutest right after my bath” -Doug;272308462;1,99156E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/Bug6dxUAwmu;https://scontent-amt2-1.cdninstagram.com/vp/82af0d1446fe56cd9a4ee57f68a3ab87/5D38242E/t51.2885-15/e35/52951343_304568506928276_3834602964330426195_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1551547617;2-3-2019 18:26;465;32320;NASHVILLE! Clear ur schedules and come meet me 1 week from today! I’m having a meet and greet at @clairesstores on Saturday, March 9th at Cool Springs Mall 🍕;272308462;1,99085E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BueTQt7gN0P;https://scontent-amt2-1.cdninstagram.com/vp/cc30789d1cc32153087945f95ee8d725/5D3B30F2/t51.2885-15/e35/53098743_361787714408182_6226037621556387695_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1551459954;1-3-2019 18:05;2782;141747;“Tag someone who is a rainbow in ur day 🌈” -Doug;272308462;1,99011E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BubmQG-gFYh;https://scontent-amt2-1.cdninstagram.com/vp/df780780ca9bae43ab1b9623604f872b/5D4CF8A6/t51.2885-15/e35/51683211_1687400901559376_6692271826519807055_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1551369247;28-2-2019 16:54;847;136668;The Jonas Puggers are back 🔥 @jonasbrothers;272308462;1,98935E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BuZKySjhWK1;https://scontent-amt2-1.cdninstagram.com/vp/baf8fecf7b0325f87d07a372f9c2b1f4/5D4BFB13/t51.2885-15/e35/51816649_2329944630625620_1478944951183774802_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1551287738;27-2-2019 18:15;476;107499;“‪All aboard the pug train‬” -Doug;272308462;1,98867E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BuWh8SBgdok;https://scontent-amt2-1.cdninstagram.com/vp/7cfadd6e442707616807268489e3ae30/5D36AEB9/t51.2885-15/e35/51484236_121529288936121_6218315662765197270_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1551199215;26-2-2019 17:40;632;102214;“Breakfast of champions” -Doug;272308462;1,98793E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BuUBHjkAk1h;https://scontent-amt2-1.cdninstagram.com/vp/756d734bf12bfbfd722eb1c226319d53/5D2AE800/t51.2885-15/e35/51989535_356168938572559_7385737201132871240_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1551114897;25-2-2019 18:14;332;93166;“‪When u stayed up too late watching the Oscars‬” -Doug;272308462;1,98722E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BuRb_9VAry6;https://scontent-amt2-1.cdninstagram.com/vp/d2fa52787a3876acaedad3c29e38775d/5D451DCE/t51.2885-15/e35/52125577_1624572100979811_2044563520879401747_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1551028328;24-2-2019 18:12;851;126322;“‪I’m over Winter‬” -Doug;272308462;1,98649E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BuO0Go4gHaA;https://scontent-amt2-1.cdninstagram.com/vp/ead4f59e5f4844aebd09fd75063e8051/5D31ED0A/t51.2885-15/e35/51226191_1007641149425035_5106313659356933212_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1550940302;23-2-2019 17:45;968;134218;“‪When u wake up and bae is still asleep‬” -Doug;272308462;1,98575E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BuMPnmJg_4C;https://scontent-amt2-1.cdninstagram.com/vp/be81de1d2c15355cb968151ff7285036/5D47C0C9/t51.2885-15/e35/52518135_121778585564149_2388186681511785230_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1550854064;22-2-2019 17:47;734;92443;“I can’t live without cheese” -Doug;;;;
•;;;;;;;;;;;;;
"Who wants to have a cheese plate night? @thatcheeseplate made this epic deconstructed pineapple pizza plate just for me! Build ur own @cheesebynumbers 🧀""";272308462;1,98503E+18;;;;;;;;;;;
itsdougthepug;;photo;https://www.instagram.com/p/BuKTwfWA1kD;https://scontent-amt2-1.cdninstagram.com/vp/33778bf7dc4e7073b409bc1f9c730f90/5D4CFF14/t51.2885-15/e35/52684732_382135852586204_4946727268510935395_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1550789126;21-2-2019 23:45;306;76144;“DJ Doug is taking ur requests now” -Doug;;;;
•;;;;;;;;;;;;;
"@z100newyork @iheartradio""";272308462;1,98449E+18;;;;;;;;;;;
itsdougthepug;;photo;https://www.instagram.com/p/BuJvlMkgM-N;https://scontent-amt2-1.cdninstagram.com/vp/f87e1c848f583d1cad4b3690b19ce9ed/5D314D39/t51.2885-15/e35/50699353_290033235008717_276208908874288790_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1550770159;21-2-2019 18:29;847;117648;“‪There’s snow one like u” -Doug;272308462;1,98433E+18;;
itsdougthepug;ad,cadburybunnytryouts,contest;photo;https://www.instagram.com/p/BuG5bOYAd4c;https://scontent-amt2-1.cdninstagram.com/vp/3effe0c94ee4fc2f4c8b81cb3abc0cb5/5D2C0761/t51.2885-15/e35/51579890_579646895842526_5969903594080644586_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1550674657;20-2-2019 15:57;594;89742;“Hey there hop stuff” - Doug #ad;;;;
•;;;;;;;;;;;;;
Somebunny would make a cute @cadburyusa bunny; and it could be ur pet! U can enter ur pet to the #CadburyBunnyTryouts #Contest via the link in my bio. This was my entry and I can’t wait to see urs! No Purch. Nec. Ends 3/6/19. 18+ at time of entry;" US/DC only""";272308462;1,98353E+18;;;;;;;;;
